# 3D harmonic oscillator
# eigenvalue = 1.498877e+00

#   r       u(r)
0.000000 0.000000
0.120000 3.705007e-02
0.240000 7.330238e-02
0.360000 1.079877e-01
0.480000 1.403927e-01
0.600000 1.698839e-01
0.720000 1.959285e-01
0.840000 2.181099e-01
0.960000 2.361377e-01
1.080000 2.498521e-01
1.200000 2.592230e-01
1.320000 2.643426e-01
1.440000 2.654148e-01
1.560000 2.627397e-01
1.680000 2.566955e-01
1.800000 2.477190e-01
1.920000 2.362852e-01
2.040000 2.228872e-01
2.160000 2.080177e-01
2.280000 1.921523e-01
2.400000 1.757355e-01
2.520000 1.591697e-01
2.640000 1.428072e-01
2.760000 1.269455e-01
2.880000 1.118252e-01
3.000000 9.763026e-02
3.120000 8.449135e-02
3.240000 7.248969e-02
3.360000 6.166291e-02
3.480000 5.201135e-02
3.600000 4.350474e-02
3.720000 3.608889e-02
3.840000 2.969200e-02
3.960000 2.423041e-02
4.080000 1.961373e-02
4.200000 1.574911e-02
4.320000 1.254469e-02
4.440000 9.912319e-03
4.560000 7.769471e-03
4.680000 6.040527e-03
4.800000 4.657492e-03
4.920000 3.560242e-03
5.040000 2.696398e-03
5.160000 2.020930e-03
5.280000 1.495553e-03
5.400000 1.087994e-03
5.520000 7.711643e-04
5.640000 5.222819e-04
5.760000 3.219356e-04
5.880000 1.530924e-04
