# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  1.049325292439048e-02  1.097959277721636e+00  6.027572877675078e-01  2.173451848409315e-03
0.0200  2.194470651492223e-02  1.191575415323463e+00  7.099259852016420e-01  9.505813625825874e-03
0.0300  3.430901717278526e-02  1.280468957218528e+00  8.198003752001521e-01  2.323519361000852e-02
0.0400  4.753713872392266e-02  1.364279087746756e+00  9.306287146315599e-01  4.460626054339150e-02
0.0500  6.157651600686128e-02  1.442665056148861e+00  1.040641232116498e+00  7.484451300781821e-02
0.0600  7.637129231890437e-02  1.515307522352954e+00  1.148078443649724e+00  1.151304017736002e-01
0.0700  9.186252990198779e-02  1.581909818262559e+00  1.251219336557741e+00  1.665737429555140e-01
0.0800  1.079884425980380e-01  1.642199119568183e+00  1.348408974155258e+00  2.301888571676123e-01
0.0900  1.246846397556421e-01  1.695927523457772e+00  1.438085082410806e+00  3.068708602116673e-01
0.1000  1.418843804254352e-01  1.742873027972690e+00  1.518803195817347e+00  3.973735143042222e-01
0.1100  1.595188368410043e-01  1.782840409144069e+00  1.589259962238497e+00  5.022890256973673e-01
0.1200  1.775173661454622e-01  1.815661992447769e+00  1.648314235409700e+00  6.220301451364882e-01
0.1300  1.958077892913001e-01  1.841198315533260e+00  1.695005618561257e+00  7.568148923819962e-01
0.1400  2.143166760128197e-01  1.859338679610862e+00  1.728570162748531e+00  9.066541855515997e-01
0.1500  2.329696347464754e-01  1.870001587321137e+00  1.748452968291785e+00  1.071342610948872e+00
0.1600  2.516916063549331e-01  1.873135065358294e+00  1.754317486537410e+00  1.250452520040556e+00
0.1700  2.704071604956352e-01  1.868716870574239e+00  1.746051371184389e+00  1.443331588099578e+00
0.1800  2.890407934642287e-01  1.856754578749787e+00  1.723768782854150e+00  1.649103914564244e+00
0.1900  3.075172263373863e-01  1.837285555682588e+00  1.687809106559938e+00  1.866674689234954e+00
0.2000  3.257617022383725e-01  1.810376810705776e+00  1.638732098370608e+00  2.094738391921011e+00
0.2100  3.437002815521648e-01  1.776124733215340e+00  1.577309533969631e+00  2.331790436954112e+00
0.2200  3.612601339250335e-01  1.734654713245916e+00  1.504513487093135e+00  2.576142118991177e+00
0.2300  3.783698258961709e-01  1.686120647592324e+00  1.421501419118580e+00  2.825938663607888e+00
0.2400  3.949596030261988e-01  1.630704333425867e+00  1.329598311526951e+00  3.079180136174993e+00
0.2500  4.109616654091010e-01  1.568614751798396e+00  1.230276119779772e+00  3.333744916206253e+00
0.2600  4.263104354802398e-01  1.500087243861755e+00  1.125130869598378e+00  3.587415402506414e+00
0.2700  4.409428170635151e-01  1.425382583053564e+00  1.015857754036225e+00  3.837905577697265e+00
0.2800  4.547984446353022e-01  1.344785946910926e+00  9.042246215045576e-01  4.082890029647459e+00
0.2900  4.678199218214143e-01  1.258605792569724e+00  7.920442705450319e-01  4.320034002475744e+00
0.3000  4.799530481858199e-01  1.167172640387320e+00  6.811459862343543e-01  4.547024031539333e+00
0.3100  4.911470334160620e-01  1.070837770489026e+00  5.733467653529537e-01  4.761598705457692e+00
0.3200  5.013546980600555e-01  9.699718373824036e-01  4.704226826574980e-01  4.961579093946911e+00
0.3300  5.105326600220180e-01  8.649634081067732e-01  3.740808486818422e-01  5.144898383130331e+00
0.3400  5.186415060814912e-01  7.562174296870906e-01  2.859324004812749e-01  5.309630270013516e+00
0.3500  5.256459477585126e-01  6.441536319403638e-01  2.074669507709808e-01  5.454015684820514e+00
