# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  8.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 7.978647130084987e-01 -4.664829934653904e-02
1.823856402664613e-01 7.915278240441728e-01 -9.211896768436265e-02
2.735784603996920e-01 7.811044806557296e-01 -1.362428106451586e-01
3.647712805329227e-01 7.667250471699967e-01 -1.788549190996341e-01
4.559641006661534e-01 7.485348083996826e-01 -2.197926915808956e-01
5.471569207993838e-01 7.266938264838991e-01 -2.588944666835292e-01
6.383497409326140e-01 7.013768919953618e-01 -2.959988322152797e-01
7.295425610658441e-01 6.727735055589965e-01 -3.309446512577278e-01
8.207353811990743e-01 6.410878238530826e-01 -3.635718166719590e-01
9.119282013323045e-01 6.065385042011977e-01 -3.937227147609087e-01
1.003121021465535e+00 5.693583852017108e-01 -4.212443460990659e-01
1.094313841598765e+00 5.297939471136401e-01 -4.459910179256457e-01
1.185506661731995e+00 4.881045050376995e-01 -4.678274895880671e-01
1.276699481865225e+00 4.445611001387740e-01 -4.866324225105472e-01
1.367892301998455e+00 3.994450688713641e-01 -5.023019616194476e-01
1.459085122131685e+00 3.530462867721743e-01 -5.147532587384723e-01
1.550277942264916e+00 3.056611010213191e-01 -5.239277425445694e-01
1.641470762398146e+00 2.575899836044670e-01 -5.297939459457894e-01
1.732663582531376e+00 2.091349533812286e-01 -5.323497208775912e-01
1.823856402664606e+00 1.605968295238009e-01 -5.316237019243738e-01
1.915049222797836e+00 1.122723895926140e-01 -5.276759219371255e-01
2.006242042931067e+00 6.445151215251103e-02 -5.205975318135004e-01
2.097434863064297e+00 1.741438582175463e-02 -5.105096288328177e-01
2.188627683197527e+00 -2.857113610784567e-02 -4.975612489886200e-01
2.279820503330757e+00 -7.325196353309456e-02 -4.819266243651788e-01
2.371013323463987e+00 -1.163919188985131e-01 -4.638018431495483e-01
2.462206143597217e+00 -1.577735608465711e-01 -4.434010748164593e-01
2.553398963730448e+00 -1.971996504268036e-01 -4.209525351399729e-01
2.644591783863678e+00 -2.344942441248813e-01 -3.966943650958624e-01
2.735784603996908e+00 -2.695034133793034e-01 -3.708705857489578e-01
2.826977424130138e+00 -3.020956041320669e-01 -3.437272701102493e-01
2.918170244263368e+00 -3.321616616011947e-01 -3.155090454823409e-01
