# uniform1 uniform2 gaussian1 gaussian2
  0.758647 0.758639 0.329530 1.200500
  0.199099 0.244014 -0.133614 -0.276244
  0.329450 0.451321 0.136793 -0.869396
  0.362558 0.601164 0.640470 -1.293541
  0.771247 0.116832 0.507718 0.071179
  0.568591 0.105103 0.661904 -0.347099
  0.687813 0.149617 0.779620 -0.987014
  0.889875 0.992511 0.177967 -0.921707
  0.074148 0.724207 -0.517832 -1.061286
  0.745586 0.417255 -1.542718 -0.903343
  0.272201 0.984856 -0.384102 -1.604413
  0.098276 0.745889 -0.530255 -0.795146
  0.313484 0.914268 0.053651 1.115974
  0.457931 0.000046 -0.536659 0.910117
  0.958242 0.405834 -0.370006 0.679797
  0.997806 0.072797 0.725953 -0.516827
  0.914605 0.773761 0.931454 -0.643656
  0.610236 0.233208 0.580569 -0.548444
  0.119740 0.926520 -1.232187 1.220910
  0.402404 0.910450 0.473466 -0.162554
  0.884429 0.076502 -0.363968 -1.169224
  0.454285 0.592363 -1.441787 1.052774
  0.206399 0.185959 0.823860 2.130287
  0.294566 0.939039 -0.996081 -0.656380
  0.208347 0.339768 -0.789147 -0.820117
  0.699416 0.535459 1.439579 -0.508001
  0.016280 0.229420 0.432913 -0.282221
  0.655933 0.066302 -2.258237 0.929428
  0.485885 0.810894 0.858600 -0.348050
  0.583860 0.427325 -1.312382 0.867484
  0.626168 0.621285 2.061567 -0.812129
  0.018960 0.852502 -0.351807 -0.051035
  0.809557 0.782467 0.647297 -1.350277
  0.556721 0.355275 -0.451282 -0.100514
  0.744874 0.813443 -0.186145 -0.070932
  0.653052 0.994345 -1.395327 -0.222690
  0.154963 0.347079 0.879560 0.527297
  0.849488 0.707183 0.489200 -0.886193
  0.915306 0.666894 -0.367420 -0.086869
  0.054708 0.832671 -1.768956 0.890929
  0.273340 0.838649 1.718936 -0.032787
  0.603076 0.633485 1.120592 -0.888457
  0.325645 0.507793 1.613158 -0.975995
  0.128989 0.444495 -1.414460 0.318383
  0.765876 0.005033 -1.443752 -0.696465
  0.860073 0.826164 1.237512 -0.450726
  0.671574 0.900018 -0.189301 -0.559869
  0.442359 0.649772 -0.127786 0.881039
  0.637611 0.938719 -0.529405 -1.358561
  0.756103 0.665179 1.213011 1.977559
  0.490738 0.320429 1.141694 -0.446337
  0.665263 0.205681 0.216416 0.698572
  0.498013 0.158283 2.209352 1.229571
  0.723671 0.082666 -0.394229 0.759644
  0.887499 0.987081 0.503025 2.060348
  0.759867 0.845094 0.137260 0.441696
  0.591175 0.644911 -1.135119 -0.028027
  0.847050 0.073657 -0.041942 0.795789
  0.578624 0.156224 1.080718 1.156454
  0.630548 0.314083 1.284678 -0.190135
  0.833356 0.738554 1.740186 0.820586
  0.043954 0.472909 -0.477557 0.156659
  0.260985 0.835880 0.408795 -1.184335
  0.563778 0.593290 -0.014884 0.259480
  0.947671 0.410546 0.217400 -1.071222
  0.667087 0.491924 0.435885 0.346912
  0.659877 0.653180 1.966591 0.744463
  0.991901 0.978823 -1.598389 -1.211653
  0.964115 0.264667 0.698025 -0.467350
  0.240877 0.242154 0.103291 0.361571
  0.574611 0.900514 -1.781964 -0.212728
  0.890141 0.917504 0.265706 0.098946
  0.890376 0.740998 0.365853 0.963627
  0.523341 0.244541 -1.418588 -1.144861
  0.173328 0.214216 1.557004 -0.245693
  0.465613 0.226208 2.455300 1.617661
  0.069746 0.622971 0.800017 0.527965
  0.371131 0.034348 1.113178 0.127229
  0.790054 0.297279 0.124387 0.568812
  0.191836 0.311292 -0.110506 0.333449
  0.597546 0.527112 0.987993 0.692333
  0.115642 0.212894 0.702307 1.314595
  0.389190 0.746882 -0.249739 1.858772
  0.636673 0.978359 0.659939 0.384237
  0.921974 0.985104 0.597874 -1.922602
  0.071019 0.979102 0.507068 -0.077992
  0.550207 0.222154 0.023596 0.281001
  0.903865 0.787718 1.474846 -0.542454
  0.968551 0.775211 0.384747 -1.396329
  0.896508 0.522795 -0.870273 1.675694
  0.317235 0.894288 0.106375 0.574566
  0.637691 0.028247 1.224341 1.945542
