x       y theoretical
4.08561      9.34176
5      10.5008
10      11.8768
15      13.5231
20      15.5088
25      17.923
30      20.8806
35      24.5274
40      29.0422
45      34.6295
50      41.4868
55      49.718
60      59.153
65      69.0624
70      77.9031
75      83.5021
80      84.0513
85      79.3542
90      70.9803
95      61.1337
100      51.5219
105      43.0231
110      35.8938
115      30.0671
120      25.3546
125      21.5496
130      18.4669
135      15.9541
140      13.8905
145      12.1825
150      10.7571
155      9.55836
160      8.5425
165      7.67545
170      6.9304
175      6.28612
180      5.72568
185      5.23545
190      4.80442
195      4.4236
